Security Name,Cusip,Ticker,Bet Size Ind,Active Bet In/Out Indicator,Total Relative Contribution - Actual,Actual Relative Average Weight,MSCI/S&P Sector
FACEBOOK INC A,30303M102,FB,OVWT3.0,INBM+,22.845557,4.9538759,INFORMATION TECHNOLOGY
ACTIVISION BLIZZARD INC,00507V109,ATVI,OVWT1.5TO3.0,INBM+,16.310223,1.5763362,INFORMATION TECHNOLOGY
TESLA INC,88160R101,TSLA,OVWT1.0TO1.5,OUTBM,15.179218,1.3770663,CONSUMER DISCRETIONARY
AMAZON.COM INC,023135106,AMZN,OVWT1.5TO3.0,INBM+,12.63041,2.6497545,CONSUMER DISCRETIONARY
ADOBE SYSTEMS INC,00724F101,ADBE,OVWT1.0TO1.5,INBM+,11.268801,1.1828898,INFORMATION TECHNOLOGY
CHEVRON CORP,166764100,CVX,UNWT-1.5TO-1.0,NEGBET,4.9101209,-1.0174506,ENERGY
LAM RESEARCH CORP,512807108,LRCX,OVWT0.5TO1.0,INBM+,4.4680161,0.53881314,INFORMATION TECHNOLOGY
AMPHENOL CORPORATION CL A,032095101,APH,OVWT1.0TO1.5,INBM+,4.2000617,1.4433945,INFORMATION TECHNOLOGY
NETFLIX INC,64110L106,NFLX,OVWT0.5TO1.0,INBM+,3.5993108,0.92453315,CONSUMER DISCRETIONARY
ADIDAS AG,00699D222,*ADSG,OVWT0.0TO0.5,OUTBM,3.417466,0.28624992,CONSUMER DISCRETIONARY
IVANHOE MINE LTD,46579R,IVN.TO,OVWT0.0TO0.5,OUTBM,3.392076,0.18037849,MATERIALS
SNAP INC,74R99U,SNP.TMP,OVWT0.0TO0.5,OUTBM,3.145007,0.23848207,INFORMATION TECHNOLOGY
ALTRIA GROUP INC,02209S103,MO,UNWT-1.0TO-0.5,NEGBET,2.8709182,-0.71695635,ONSUMER STAPLES
MERCK & CO INC NEW,58933Y105,MRK,UNWT-1.0TO-0.5,NEGBET,2.6440703,-0.87471652,HEALTH CARE
APPLIED MATERIALS INC,038222105,AMAT,OVWT0.0TO0.5,INBM+,2.6020067,0.3782669,INFORMATION TECHNOLOGY
INTL BUS MACH CORP,459200101,IBM,UNWT-1.0TO-0.5,NEGBET,2.5235808,-0.74958504,INFORMATION TECHNOLOGY
BROADCOM LTD,ABD367000,AVGO,OVWT0.5TO1.0,INBM+,2.4746105,0.60707129,INFORMATION TECHNOLOGY
PRICELINE GROUP INC,741503403,PCLN,OVWT0.5TO1.0,INBM+,2.4479559,0.78552731,CONSUMER DISCRETIONARY
SALESFORCE.COM INC,79466L302,CRM,OVWT1.5TO3.0,INBM+,2.3406883,1.8158235,INFORMATION TECHNOLOGY
ARISTA NETWORKS INC,040413106,ANET,OVWT0.0TO0.5,OUTBM,2.2669383,0.22076616,INFORMATION TECHNOLOGY
CANADIAN NATL RESOURCES LTD,136385101,CNQ.TO,OVWT0.0TO0.5,OUTBM,2.1788488,0.1614569,ENERGY
HDFC BANK LTD SPON ADR,40415F101,HDB,OVWT0.0TO0.5,OUTBM,2.0329928,0.42567637,FINANCIALS
SIMON PPTY GROUP INC - REIT,828806109,SPG,UNWT-0.5TO0.0,NEGBET,1.9381245,-0.26734683,REAL ESTATE
VERIZON COMMUNICATIONS INC,92343V104,VZ,UNWT-1.0TO-0.5,NEGBET,1.8960052,-0.99516987,TELECOMMUNICATION SERVICES
TENCENT HOLDINGS LIMITED,06N996225,*TENCENT,OVWT0.0TO0.5,OUTBM,1.8903701,0.26612618,INFORMATION TECHNOLOGY
HALLIBURTON CO,406216101,HAL,UNWT-0.5TO0.0,NEGBET,1.8479615,-0.21704196,ENERGY
ALPHABET INC,02079K,GOOGL,OVWT3.0,INBM+,1.8406395,4.3964854,INFORMATION TECHNOLOGY
ELECTRONIC ARTS INC,285512109,EA,OVWT0.5TO1.0,INBM+,1.810967,0.5605699,INFORMATION TECHNOLOGY
MARRIOTT INTERNATIONAL INC A,571903202,MAR,OVWT0.0TO0.5,INBM+,1.786014,0.21981594,CONSUMER DISCRETIONARY
FORD MOTOR CO,345370860,F,UNWT-0.5TO0.0,NEGBET,1.7555509,-0.23477765,CONSUMER DISCRETIONARY
PROCTER & GAMBLE CO,742718109,PG,UNWT-1.5TO-1.0,NEGBET,1.7233593,-1.1716066,ONSUMER STAPLES
GOLDMAN SACHS GROUP INC,38141G104,GS,UNWT-0.5TO0.0,INBM-,1.6127572,-0.21840827,FINANCIALS
DEXCOM INC,252131107,DXCM,OVWT0.0TO0.5,OUTBM,1.5647913,0.19309192,HEALTH CARE
SAMSUNG ELECTRONICS CO LTD,796110922,*SAMSNG,OVWT0.0TO0.5,OUTBM,1.5626583,0.18945775,INFORMATION TECHNOLOGY
BIOGEN INC,09062X103,BIIB,UNWT-0.5TO0.0,INBM-,1.5454966,-0.28042628,HEALTH CARE
EXPRESS SCRIPTS HLDG CO,30219G108,ESRX,UNWT-0.5TO0.0,NEGBET,1.477693,-0.20102243,HEALTH CARE
DELTA AIR INC,247361702,DAL,UNWT-0.5TO0.0,NEGBET,1.4691061,-0.17096717,INDUSTRIALS
AMGEN INC,031162100,AMGN,UNWT-0.5TO0.0,INBM-,1.4845731,-0.24287633,HEALTH CARE
WALGREENS BOOTS ALLIANCE INC,931427108,WBA,UNWT-0.5TO0.0,NEGBET,1.4538949,-0.356699,ONSUMER STAPLES
BB&T CORP,054937107,BBT,UNWT-0.5TO0.0,NEGBET,1.4394322,-0.18579465,FINANCIALS
VISA INC CL A,92826C839,V,OVWT1.5TO3.0,INBM+,1.4444592,1.5170107,INFORMATION TECHNOLOGY
EQUIFAX INC,294429105,EFX,OVWT0.0TO0.5,INBM+,1.4217024,0.32121598,INDUSTRIALS
PAYPAL HLDGS INC,70450Y103,PYPL,OVWT0.5TO1.0,INBM+,1.39041,0.60820886,INFORMATION TECHNOLOGY
NORFOLK SOUTHERN CORP,655844108,NSC,UNWT-0.5TO0.0,NEGBET,1.3310858,-0.16741883,INDUSTRIALS
ESTEE LAUDER COS INC CL A,518439104,EL,OVWT0.5TO1.0,INBM+,1.3252145,0.59862146,ONSUMER STAPLES
T-MOBILE US INC,872590104,TMUS,OVWT0.0TO0.5,OUTBM,1.3100189,0.40343314,TELECOMMUNICATION SERVICES
TAIWAN SEMIC MFG CO LTD SP ADR,874039100,TSM,OVWT0.0TO0.5,OUTBM,1.3081626,0.31177182,INFORMATION TECHNOLOGY
MASTERCARD INC CL A,57636Q104,MA,OVWT0.5TO1.0,INBM+,1.2825723,0.76937224,INFORMATION TECHNOLOGY
SCHLUMBERGER LTD,806857108,SLB,UNWT-0.5TO0.0,INBM-,1.2766071,-0.46311038,ENERGY
STARBUCKS CORP,855244109,SBUX,OVWT0.5TO1.0,INBM+,1.2203777,0.63622486,CONSUMER DISCRETIONARY
CATERPILLAR INC,149123101,CAT,UNWT-0.5TO0.0,NEGBET,1.1625418,-0.2693687,INDUSTRIALS
CVS HEALTH CORP,126650100,CVS,UNWT-0.5TO0.0,NEGBET,1.1498727,-0.41096174,ONSUMER STAPLES
ALEXION PHARMACEUTICALS INC,015351109,ALXN,UNWT-0.5TO0.0,NEGBET,1.1288699,-0.13756096,HEALTH CARE
ALLERGAN PLC,62K993228,AGN,UNWT-0.5TO0.0,NEGBET,1.1185029,-0.41194852,HEALTH CARE
KROGER CO,501044101,KR,UNWT-0.5TO0.0,NEGBET,1.0980286,-0.13514765,ONSUMER STAPLES
AMERICAN AIRLINES GROUP INC,02376R102,AAL,UNWT-0.5TO0.0,NEGBET,1.0608869,-0.10860487,INDUSTRIALS
CHEMOURS CO/ THE,163851108,CC,OVWT0.0TO0.5,OUTBM,1.043458,0.07380812,MATERIALS
CISCO SYSTEMS INC,17275R102,CSCO,UNWT-1.0TO-0.5,NEGBET,1.0434981,-0.84104674,INFORMATION TECHNOLOGY
SUNTRUST BANKS INC,867914103,STI,UNWT-0.5TO0.0,NEGBET,1.0395917,-0.13904509,FINANCIALS
NVIDIA CORP,67066G104,NVDA,OVWT0.0TO0.5,INBM+,1.011212,0.14388738,INFORMATION TECHNOLOGY
TARGET CORP,87612E106,TGT,UNWT-0.5TO0.0,NEGBET,1.0166101,-0.15144622,CONSUMER DISCRETIONARY
COACH INC,189754104,COH,OVWT0.0TO0.5,INBM+,0.99792511,0.10631589,CONSUMER DISCRETIONARY
BANK OF AMERICA CORPORATION,060505104,BAC,UNWT-0.5TO0.0,INBM-,1.01709,-0.31793245,FINANCIALS
ALIBABA GROUP HLD LTD SPON ADR,01609W102,BABA,OVWT0.0TO0.5,OUTBM,0.97132841,0.2066322,INFORMATION TECHNOLOGY
KOTAK MAHINDRA BANK LTD,04J99Y224,*KMB,OVWT0.0TO0.5,OUTBM,0.94313428,0.08450729,FINANCIALS
AT&T INC,00206R102,T,UNWT-1.5TO-1.0,NEGBET,0.88265627,-1.267439,TELECOMMUNICATION SERVICES
UNION PACIFIC CORP,907818108,UNP,UNWT-0.5TO0.0,NEGBET,0.87774448,-0.42803791,INDUSTRIALS
BOSTON SCIENTIFIC CORP,101137107,BSX,OVWT0.5TO1.0,INBM+,0.85696413,0.71949093,HEALTH CARE
PRUDENTIAL FINANCIAL INC,744320102,PRU,UNWT-0.5TO0.0,NEGBET,0.85297928,-0.2310583,FINANCIALS
VORNADO REALTY TRUST,929042109,VNO,UNWT-0.5TO0.0,NEGBET,0.82588402,-0.08813461,REAL ESTATE
CHIPOTLE MEXICAN GRILL INC,169656105,CMG,OVWT0.0TO0.5,INBM+,0.77723738,0.12174311,CONSUMER DISCRETIONARY
DIAMONDBACK ENERGY INC,25278X109,FANG,OVWT0.0TO0.5,OUTBM,0.76187668,0.31637449,ENERGY
SYNCHRONY FINANCIAL,87165B103,SYF,UNWT-0.5TO0.0,NEGBET,0.76738451,-0.13375622,FINANCIALS
DISNEY (WALT) CO,254687106,DIS,OVWT0.0TO0.5,INBM+,0.74023684,0.25930278,CONSUMER DISCRETIONARY
BANK OF IRELAND,46267Q939,*BKIRIR,OVWT0.0TO0.5,OUTBM,0.75407542,0.19809755,FINANCIALS
FORTIVE CORP,AGD590000,FTV,OVWT0.0TO0.5,INBM+,0.73101644,0.16734839,INDUSTRIALS
FIFTH THIRD BANCORP,316773100,FITB,UNWT-0.5TO0.0,NEGBET,0.72364443,-0.09796296,FINANCIALS
AGIOS PHARMACEUTICALS INC,00847X104,AGIO,OVWT0.0TO0.5,OUTBM,0.71645922,0.03807398,HEALTH CARE
BOEING CO,097023105,BA,UNWT-0.5TO0.0,INBM-,0.71775001,-0.36032158,INDUSTRIALS
CITIZENS FINANCIAL GROUP INC,174610105,CFG,UNWT-0.5TO0.0,INBM-,0.70436836,-0.08456311,FINANCIALS
LOGMEIN INC,54142L109,LOGM,OVWT0.0TO0.5,OUTBM,0.69051173,0.11720447,INFORMATION TECHNOLOGY
MYLAN NV,74T993224,MYL,UNWT-0.5TO0.0,NEGBET,0.66667703,-0.09632735,HEALTH CARE
L BRANDS INC,501797104,LB,UNWT-0.5TO0.0,NEGBET,0.66536151,-0.05903904,CONSUMER DISCRETIONARY
THERMO FISHER SCIENTIFIC INC,883556102,TMO,UNWT-0.5TO0.0,INBM-,0.66237411,-0.24828545,HEALTH CARE
NEXTERA ENERGY,65339F101,NEE,UNWT-0.5TO0.0,NEGBET,0.6419627,-0.30018804,UTILITIES
ASML HLDG NV (NY REG SHS) NEW,04599S230,ASML,OVWT0.0TO0.5,OUTBM,0.6335574,0.07249418,INFORMATION TECHNOLOGY
SMUCKER (J.M.) CO,832696405,SJM,UNWT-0.5TO0.0,NEGBET,0.62501019,-0.078578,ONSUMER STAPLES
TJX COMPANIES INC NEW,872540109,TJX,OVWT1.0TO1.5,INBM+,0.6182827,1.0199144,CONSUMER DISCRETIONARY
ABBOTT LABORATORIES,002824100,ABT,UNWT-0.5TO0.0,NEGBET,0.61889578,-0.38210557,HEALTH CARE
AMERICAN INTERNATIONAL GROUP,026874784,AIG,UNWT-0.5TO0.0,NEGBET,0.60991384,-0.29490661,FINANCIALS
CAPITAL ONE FINANCIAL CORP,14040H105,COF,UNWT-0.5TO0.0,INBM-,0.61335265,-0.09501601,FINANCIALS
PERRIGO CO PLC,65F99L235,PRGO,UNWT-0.5TO0.0,NEGBET,0.59047586,-0.04956322,HEALTH CARE
CITRIX SYSTEMS INC,177376100,CTXS,OVWT0.0TO0.5,INBM+,0.57881418,0.1075022,INFORMATION TECHNOLOGY
BIRCHCLIFF ENERGY LTD NEW,090697,BIR.TO,OVWT0.0TO0.5,OUTBM,0.57223031,0.1070443,ENERGY
GILEAD SCIENCES INC,375558103,GILD,UNWT-0.5TO0.0,INBM-,0.57908351,-0.21554202,HEALTH CARE
LIBERTY MEDIA COR,531229,LSXMA,OVWT0.0TO0.5,OUTBM,0.57486345,0.26643902,CONSUMER DISCRETIONARY
ADMIRAL GROUP PLC,09M992229,*ADML,OVWT0.0TO0.5,OUTBM,0.56987958,0.06043635,FINANCIALS
OCCIDENTAL PETROLEUM CORP,674599105,OXY,UNWT-0.5TO0.0,NEGBET,0.56776667,-0.23982287,ENERGY
