Security Name,Cusip,Ticker,Bet Size Ind,Active Bet In/Out Indicator,Total Relative Contribution - Actual,Actual Relative Average Weight,MSCI/S&P Sector
FACEBOOK INC A,30303M102,FB,OVWT3.0,INBM+,13.1149894266556,3.23451409638862,INFORMATION TECHNOLOGY
ACTIVISION BLIZZARD INC,00507V109,ATVI,OVWT1.5TO3.0,INBM+,4.90922644527308,1.14396861158449,INFORMATION TECHNOLOGY
TESLA INC,88160R101,TSLA,OVWT1.0TO1.5,OUTBM,6.73006617904252,1.23014294878996,CONSUMER DISCRETIONARY
AMAZON.COM INC,023135106,AMZN,OVWT1.5TO3.0,INBM+,11.5603387561037,0.107152940819849,CONSUMER DISCRETIONARY
ADOBE SYSTEMS INC,00724F101,ADBE,OVWT1.0TO1.5,INBM+,5.32384641189463,0.801679376389679,INFORMATION TECHNOLOGY
CHEVRON CORP,166764100,CVX,UNWT-1.5TO-1.0,NEGBET,3.21387804619458,-0.743057931180727,ENERGY
LAM RESEARCH CORP,512807108,LRCX,OVWT0.5TO1.0,INBM+,1.5699562919705,0.385293123103307,INFORMATION TECHNOLOGY
AMPHENOL CORPORATION CL A,032095101,APH,OVWT1.0TO1.5,INBM+,0.382105803437532,0.706534864234644,INFORMATION TECHNOLOGY
NETFLIX INC,64110L106,NFLX,OVWT0.5TO1.0,INBM+,2.71840869757783,0.550361009100877,CONSUMER DISCRETIONARY
ADIDAS AG,00699D222,*ADSG,OVWT0.0TO0.5,OUTBM,2.09691456929518,0.0165898952122792,CONSUMER DISCRETIONARY
IVANHOE MINE LTD,46579R,IVN.TO,OVWT0.0TO0.5,OUTBM,2.22579830605738,0.125485444166429,MATERIALS
SNAP INC,74R99U,SNP.TMP,OVWT0.0TO0.5,OUTBM,2.26317833223743,0.178397496557935,INFORMATION TECHNOLOGY
ALTRIA GROUP INC,02209S103,MO,UNWT-1.0TO-0.5,NEGBET,0.630914204011742,-0.170381623496879,ONSUMER STAPLES
MERCK & CO INC NEW,58933Y105,MRK,UNWT-1.0TO-0.5,NEGBET,2.51129215194066,-0.176268263267146,HEALTH CARE
APPLIED MATERIALS INC,038222105,AMAT,OVWT0.0TO0.5,INBM+,0.772047958920311,0.272655509847371,INFORMATION TECHNOLOGY
INTL BUS MACH CORP,459200101,IBM,UNWT-1.0TO-0.5,NEGBET,2.44354616793319,-0.18922172393937,INFORMATION TECHNOLOGY
BROADCOM LTD,ABD367000,AVGO,OVWT0.5TO1.0,INBM+,1.6146529385901,0.462758180851043,INFORMATION TECHNOLOGY
PRICELINE GROUP INC,741503403,PCLN,OVWT0.5TO1.0,INBM+,1.94931966968413,0.0399385373423801,CONSUMER DISCRETIONARY
SALESFORCE.COM INC,79466L302,CRM,OVWT1.5TO3.0,INBM+,0.805334213087325,1.1763697400899,INFORMATION TECHNOLOGY
ARISTA NETWORKS INC,040413106,ANET,OVWT0.0TO0.5,OUTBM,1.0767515088107,0.0633664668328844,INFORMATION TECHNOLOGY
